County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout,absentee_%_of_ballots,absentee_%_of_population
ADAMS COUNTY,2018_11_07_all_ward,1243,1185,9547,9547.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.45734131736526945,0.12412276107677804,0.05676646706586826
ASHLAND COUNTY,2018_11_07_all_ward,943,876,6971,6973.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.43157764436467166,0.1256274200487595,0.05421798601225475
BARRON COUNTY,2018_11_07_all_ward,2731,2585,18672,18674.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.40710704163941575,0.13842776052265182,0.05635491606714628
BAYFIELD COUNTY,2018_11_07_all_ward,1172,1105,8862,8862.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.5902491008392168,0.12468968630106071,0.07359797522312508
BROWN COUNTY,2018_11_07_all_ward,29447,28180,116175,116188.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.46848677658291904,0.24253795572692533,0.11362582507751798
BUFFALO COUNTY,2018_11_07_all_ward,509,482,6014,6014.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.4426289835872525,0.08014632524110409,0.035475086479723264
BURNETT COUNTY,2018_11_07_all_ward,785,735,7675,7679.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.49679756744517045,0.09571558796718323,0.047551271268680854
CALUMET COUNTY,2018_11_07_all_ward,4739,4538,23790,23783.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.4856547752751629,0.19080856073666064,0.09266708868514019
CHIPPEWA COUNTY,2018_11_07_all_ward,4661,4487,27928,27924.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.4473924537370824,0.1606861481163157,0.07188977008731876
CLARK COUNTY,2018_11_07_all_ward,893,854,11814,11814.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.34055923897376766,0.0722871169798544,0.024618045546266936
