County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout,absentee_%_of_ballots,absentee_%_of_population,population_1000s
ADAMS COUNTY,2020_04_07_all_ward,3485,3196,5661,5661.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.27118562874251495,0.5645645645645646,0.15310179640718563,20.875
ASHLAND COUNTY,2020_04_07_all_ward,2507,2195,4118,4119.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.25493594107817047,0.5328963340616655,0.13585442842111778,16.157
BARRON COUNTY,2020_04_07_all_ward,6759,6090,11125,11122.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.24246784390669282,0.5475633878798777,0.1327665140614781,45.87
BAYFIELD COUNTY,2020_04_07_all_ward,3724,3487,6332,6213.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.4138137738111096,0.5612425559311122,0.2322499000932463,15.014
BROWN COUNTY,2020_04_07_all_ward,53655,47404,59472,58307.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.23510223501756,0.8130070145951601,0.19113976621627615,248.007
BUFFALO COUNTY,2020_04_07_all_ward,2332,2161,3710,3755.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.27636711562523,0.5754993342210386,0.15904909104290865,13.587
BURNETT COUNTY,2020_04_07_all_ward,2129,1837,4045,3992.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.2582648638157469,0.4601703406813627,0.11884583036811801,15.457
CALUMET COUNTY,2020_04_07_all_ward,11447,9749,13913,13914.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.28412734067100937,0.7006612045421877,0.19907700475791795,48.971
CHIPPEWA COUNTY,2020_04_07_all_ward,12175,11143,17281,17279.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.2768405030841945,0.6448868568782916,0.1785308018905712,62.415
CLARK COUNTY,2020_04_07_all_ward,3749,3481,7289,7300.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.21043528394349956,0.47684931506849315,0.10034592101470165,34.69
COLUMBIA COUNTY,2020_04_07_all_ward,12900,12027,17538,17537.0,56833.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.3085707247549839,0.685807150595883,0.21162000950152202,56.833
