County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
ADAMS COUNTY,2020_08_11-partisan_primary,2246,1564,3894,3891.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.18653892215568862,0.40164355418592707,0.07492215568862276,20.875,55001
ASHLAND COUNTY,2020_08_11-partisan_primary,3233,1612,2420,2420.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.14978028099275856,0.6661157024793388,0.09977099709104413,16.157,55003
BARRON COUNTY,2020_08_11-partisan_primary,4896,3471,6366,6291.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.13878351863963376,0.5452403393025448,0.07567037279267495,45.87,55005
BAYFIELD COUNTY,2020_08_11-partisan_primary,3234,2700,4650,4650.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.30971093645930464,0.5806451612903226,0.1798321566537898,15.014,55007
BROWN COUNTY,2020_08_11-partisan_primary,43679,29632,39202,38774.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.15806811904502696,0.7558798020509158,0.11948049853431557,248.007,55009
BUFFALO COUNTY,2020_08_11-partisan_primary,981,692,2236,2238.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.16456907337896517,0.3094812164579606,0.05093103702068153,13.587,55011
BURNETT COUNTY,2020_08_11-partisan_primary,1767,1276,3188,2918.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.2062495956524552,0.4002509410288582,0.0825515947467167,15.457,55013
CALUMET COUNTY,2020_08_11-partisan_primary,7004,4201,6412,6229.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.13093463478385167,0.6551777916406737,0.08578546486696208,48.971,55015
CHIPPEWA COUNTY,2020_08_11-partisan_primary,7523,5200,9832,9829.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.1575262356805255,0.5288852725793328,0.08331330609629095,62.415,55017
CLARK COUNTY,2020_08_11-partisan_primary,2535,1909,4878,4878.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.14061689247621792,0.39134891348913486,0.055030268088786395,34.69,55019
