County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
ADAMS COUNTY,2020_11_04-general_election,4998,4506,11868,11868.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.5685269461077844,0.37967644084934277,0.2158562874251497,20.875,55001
ASHLAND COUNTY,2020_11_04-general_election,4038,3657,8778,8776.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.5432939283282787,0.4166097060833903,0.22634152379773473,16.157,55003
BARRON COUNTY,2020_11_04-general_election,11719,10630,25465,25460.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.5551558752997602,0.41743569605340664,0.2317418792238936,45.87,55005
BAYFIELD COUNTY,2020_11_04-general_election,5293,4930,10939,10938.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.7285866524577062,0.4506810494560746,0.3283601971493273,15.014,55007
BROWN COUNTY,2020_11_04-general_election,106129,99282,144451,144435.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.5824472696335184,0.6873057299707167,0.40031934582491624,248.007,55009
BUFFALO COUNTY,2020_11_04-general_election,2561,2359,7850,7848.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.5777581511739163,0.30050955414012737,0.1736218444100979,13.587,55011
BURNETT COUNTY,2020_11_04-general_election,3773,3293,10185,9482.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.6589247590088633,0.3233186057928326,0.2130426344051239,15.457,55013
CALUMET COUNTY,2020_11_04-general_election,18662,17431,31004,30754.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.6331093912723857,0.5622177783511805,0.35594535541442895,48.971,55015
CHIPPEWA COUNTY,2020_11_04-general_election,17816,16456,36089,36083.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.5782103660978931,0.45598381778381225,0.26365457021549304,62.415,55017
CLARK COUNTY,2020_11_04-general_election,4447,3929,14956,14956.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.43113289132314786,0.2627039315324953,0.11326030556356298,34.69,55019
COLUMBIA COUNTY,2020_11_04-general_election,18915,17782,34002,34006.0,56833.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.5982791687927789,0.5229692371036998,0.3128816004785952,56.833,55021
CRAWFORD COUNTY,2020_11_04-general_election,3653,3322,8741,8744.0,16644.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.5251742369622687,0.3800480494222629,0.19959144436433549,16.644,55023
DANE COUNTY,2020_11_04-general_election,275087,256486,345651,344639.0,488073.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.7081952904585994,0.7420374886807791,0.5255074548274541,488.073,55025
DODGE COUNTY,2020_11_04-general_election,24217,22401,48685,48686.0,88759.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.5485077569598575,0.460121187223991,0.25238004033393796,88.759,55027
DOOR COUNTY,2020_11_04-general_election,12222,11542,20207,20208.0,27785.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.7272629116429729,0.5711882021081803,0.4154039949613101,27.785,55029
