County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
ADAMS COUNTY,2021_02_16-spring_primary,608,290,1030,1028.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.04934131736526946,0.2815533980582524,0.013892215568862276,20.875,55001
ASHLAND COUNTY,2021_02_16-spring_primary,788,424,968,968.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.05991211239710342,0.4380165289256198,0.02624249551278084,16.157,55003
BARRON COUNTY,2021_02_16-spring_primary,1382,560,1728,1728.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.03767168083714846,0.32407407407407407,0.012208415086112928,45.87,55005
BAYFIELD COUNTY,2021_02_16-spring_primary,908,502,1437,1436.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.09571067004129478,0.34933890048712596,0.03343546023711203,15.014,55007
BROWN COUNTY,2021_02_16-spring_primary,17438,8821,16252,16252.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.06553040841589149,0.5427639675116909,0.03556754446447076,248.007,55009
BUFFALO COUNTY,2021_02_16-spring_primary,269,143,612,613.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.045043055862221244,0.23366013071895425,0.010524766320747773,13.587,55011
BURNETT COUNTY,2021_02_16-spring_primary,521,248,834,832.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.05395613637833991,0.2973621103117506,0.016044510577731774,15.457,55013
CALUMET COUNTY,2021_02_16-spring_primary,2197,996,2644,2643.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.053991137612056116,0.3767019667170953,0.020338567723754874,48.971,55015
CHIPPEWA COUNTY,2021_02_16-spring_primary,2347,1084,2750,2749.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.04405992149323079,0.3941818181818182,0.017367619963149884,62.415,55017
CLARK COUNTY,2021_02_16-spring_primary,581,376,1342,1342.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.03868550014413376,0.28017883755588674,0.010838858460651484,34.69,55019
COLUMBIA COUNTY,2021_02_16-spring_primary,2648,1244,3116,3116.0,56833.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.054827301039888796,0.3992297817715019,0.021888691429275246,56.833,55021
CRAWFORD COUNTY,2021_02_16-spring_primary,486,220,724,724.0,16644.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.04349915885604422,0.30386740331491713,0.013217976447969237,16.644,55023
DANE COUNTY,2021_02_16-spring_primary,48974,29039,51567,51565.0,488073.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.10565427712657738,0.5631314600422751,0.059497247338000665,488.073,55025
DODGE COUNTY,2021_02_16-spring_primary,3414,1841,6559,6560.0,88759.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.07389673159904911,0.28068303094983993,0.020741558602507915,88.759,55027
DOOR COUNTY,2021_02_16-spring_primary,1642,794,2227,2227.0,27785.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.08015116069821847,0.35653345307588685,0.028576570091776138,27.785,55029
DOUGLAS COUNTY,2021_02_16-spring_primary,2707,1276,2391,2391.0,44159.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.054145247854344526,0.533667921371811,0.02889558187458955,44.159,55031
DUNN COUNTY,2021_02_16-spring_primary,1768,975,2885,2885.0,43857.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.06578197323118316,0.3379549393414211,0.022231342773103496,43.857,55033
EAU CLAIRE COUNTY,2021_02_16-spring_primary,4181,2046,4959,4956.0,98736.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.05022484200291687,0.41258318209316397,0.02072192513368984,98.736,55035
FLORENCE COUNTY,2021_02_16-spring_primary,178,100,268,210.0,4423.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.06059235812796744,0.373134328358209,0.022609088853719195,4.423,55037
FOND DU LAC COUNTY,2021_02_16-spring_primary,4749,2997,8766,8766.0,101633.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.08625151279604065,0.34188911704312114,0.029488453553471804,101.633,55039
FOREST COUNTY,2021_02_16-spring_primary,311,156,593,593.0,9304.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.0637360275150473,0.2630691399662732,0.016766981943250214,9.304,55041
GRANT COUNTY,2021_02_16-spring_primary,1589,726,1816,1800.0,51208.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.0354632088736135,0.3997797356828194,0.014177472269957818,51.208,55043
GREEN COUNTY,2021_02_16-spring_primary,2172,1553,4910,4910.0,36842.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.1332718093480267,0.3162932790224033,0.04215297757993594,36.842,55045
GREEN LAKE COUNTY,2021_02_16-spring_primary,614,300,759,759.0,19051.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.03984042832397249,0.3952569169960474,0.015747204871135373,19.051,55047
IOWA COUNTY,2021_02_16-spring_primary,1351,701,1518,1517.0,23687.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.06408578545193566,0.46179183135704877,0.02959429222780428,23.687,55049
IRON COUNTY,2021_02_16-spring_primary,451,249,508,508.0,5916.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.08586883029073698,0.49015748031496065,0.04208924949290061,5.916,55051
