County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
ADAMS COUNTY,2021_04_06-spring_election,775,534,3222,3222.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.15434730538922156,0.16573556797020483,0.025580838323353294,20.875,55001
ASHLAND COUNTY,2021_04_06-spring_election,1085,821,3204,3205.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.19830414062016463,0.2562421972534332,0.05081388871696478,16.157,55003
BARRON COUNTY,2021_04_06-spring_election,1990,1447,7454,7453.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.16250272509265315,0.1941239602897773,0.0315456725528668,45.87,55005
BAYFIELD COUNTY,2021_04_06-spring_election,1412,1175,4860,4860.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.32369788197682164,0.2417695473251029,0.07826029039563075,15.014,55007
BROWN COUNTY,2021_04_06-spring_election,22088,15896,40356,40357.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.16272121351413468,0.39389434037070076,0.06409496506147004,248.007,55009
BUFFALO COUNTY,2021_04_06-spring_election,330,235,2021,2021.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.14874512401560314,0.11627906976744186,0.01729594465297711,13.587,55011
BURNETT COUNTY,2021_04_06-spring_election,747,534,3135,3040.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.2028207284725367,0.17033492822966506,0.034547454227857925,15.457,55013
CALUMET COUNTY,2021_04_06-spring_election,3113,2233,9113,7252.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.18608972657286965,0.2450345660046088,0.04559841538869944,48.971,55015
CHIPPEWA COUNTY,2021_04_06-spring_election,2853,1954,8190,8190.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.13121845710165825,0.2385836385836386,0.03130657694464472,62.415,55017
CLARK COUNTY,2021_04_06-spring_election,809,639,4388,4388.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.12649178437590083,0.14562443026435734,0.018420294032862498,34.69,55019
COLUMBIA COUNTY,2021_04_06-spring_election,3518,2492,9328,9328.0,56833.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.16412999489733077,0.26715265866209265,0.04384776450301761,56.833,55021
CRAWFORD COUNTY,2021_04_06-spring_election,617,417,2365,2365.0,16644.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.14209324681566932,0.17632135306553912,0.025054073540014418,16.644,55023
DANE COUNTY,2021_04_06-spring_election,68766,53456,120963,120957.0,488073.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.24783792588403783,0.44192025660739237,0.10952459980371788,488.073,55025
DODGE COUNTY,2021_04_06-spring_election,4518,3315,14982,14983.0,88759.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.1687941504523485,0.2212655186223468,0.03734832524025732,88.759,55027
DOOR COUNTY,2021_04_06-spring_election,2316,1773,6534,6534.0,27785.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.23516285765700917,0.2713498622589532,0.06381140903365125,27.785,55029
DOUGLAS COUNTY,2021_04_06-spring_election,3141,2074,5881,5881.0,44159.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.13317783464299462,0.35266111205577283,0.04696664326637832,44.159,55031
