County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
ADAMS COUNTY,2022_08_09-partisan_primary,796,632,4632,4632.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.22189221556886227,0.13644214162348878,0.030275449101796408,20.875,55001
ASHLAND COUNTY,2022_08_09-partisan_primary,918,732,3334,3330.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.2063501887726682,0.21955608878224356,0.04530544036640465,16.157,55003
BARRON COUNTY,2022_08_09-partisan_primary,1665,1273,7697,7695.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.16780030521037714,0.1653891126412888,0.027752343579681708,45.87,55005
BAYFIELD COUNTY,2022_08_09-partisan_primary,1182,928,5157,5157.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.34347941920873853,0.17994958309094436,0.061808978286932194,15.014,55007
BROWN COUNTY,2022_08_09-partisan_primary,18212,15011,48701,48691.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.19636945731370486,0.30822775713024375,0.06052651739668639,248.007,55009
BUFFALO COUNTY,2022_08_09-partisan_primary,391,334,3631,3632.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.26724074482961657,0.09198567887634261,0.024582321336571723,13.587,55011
BURNETT COUNTY,2022_08_09-partisan_primary,629,441,3290,3212.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.21284854758361907,0.13404255319148936,0.028530762761208514,15.457,55013
CALUMET COUNTY,2022_08_09-partisan_primary,2726,2169,11648,11645.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.23785505707459517,0.18621222527472528,0.044291519470707155,48.971,55015
CHIPPEWA COUNTY,2022_08_09-partisan_primary,3049,2406,13786,13782.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.22087639189297445,0.17452488031336139,0.03854842585916847,62.415,55017
CLARK COUNTY,2022_08_09-partisan_primary,679,585,5451,5455.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.1571346209282214,0.10731975784259769,0.016863649466705103,34.69,55019
